VehicleId,IndividualId,Make,Model,Year,VIN,Price,Mileage,Color,BodyType,FuelType,Transmission,Doors,Status,IsPurchased,PurchaseDate,IsHearted,HeartedById,HeartedDate,ListingURL,CarMaxStore,LastModified
VEH-0089,003ak00001QQTVMAA5,Chevrolet,Bolt EUV,2023.000000000000000000,KMXCH202300896936,41903.000000000000000000,63302.000000000000000000,Black,Hatchback,Electric,Automatic,5,In Inventory,false,,true,003ak00001QQTVMAA5,2026-02-15,https://www.carmax.com/car/KMXCH202300896936,CarMax Austin,2026-03-16 13:06:00.000 UTC
VEH-0166,,Kia,EV6,2020.000000000000000000,KMXKI202001666994,36741.000000000000000000,98351.000000000000000000,Beige,SUV,Electric,Automatic,5,Pending,false,,false,,,https://www.carmax.com/car/KMXKI202001666994,CarMax Austin,2026-01-14 11:20:00.000 UTC
VEH-0266,,Rivian,R1T,2021.000000000000000000,KMXRI202102666183,29545.000000000000000000,25241.000000000000000000,Charcoal,Pickup Truck,Electric,Automatic,4,In Inventory,false,,false,,,https://www.carmax.com/car/KMXRI202102666183,CarMax Austin,2026-04-06 14:57:00.000 UTC
VEH-0016,,Kia,EV6,2025.000000000000000000,KMXKI202500151710,18972.000000000000000000,47473.000000000000000000,Green,SUV,Electric,Automatic,5,In Inventory,false,,false,,,https://www.carmax.com/car/KMXKI202500151710,CarMax Charlotte,2026-02-07 11:34:00.000 UTC
VEH-0034,,Hyundai,Ioniq 5,2023.000000000000000000,KMXHY202300336795,48500.000000000000000000,25241.000000000000000000,Brown,SUV,Electric,Automatic,5,In Inventory,false,,false,,,https://www.carmax.com/car/KMXHY202300336795,CarMax Charlotte,2026-03-17 18:40:00.000 UTC
VEH-0158,,Tesla,Model 3,2025.000000000000000000,KMXTE202501589303,57103.000000000000000000,77473.000000000000000000,Black,Sedan,Electric,Automatic,4,In Inventory,false,,false,,,https://www.carmax.com/car/KMXTE202501589303,CarMax Charlotte,2026-02-27 13:28:00.000 UTC
VEH-0008,003ak00001QQTVGAA5,Tesla,Model 3,2024.000000000000000000,KMXTE202400076235,29373.000000000000000000,69784.000000000000000000,Silver,Sedan,Electric,Automatic,4,In Inventory,false,,true,003ak00001QQTVGAA5,2026-02-26,https://www.carmax.com/car/KMXTE202400076235,CarMax Houston,2026-01-25 08:55:00.000 UTC
VEH-0056,003ak00001QQTVFAA5,Tesla,Model Y,2024.000000000000000000,KMXTE202400555985,44014.000000000000000000,80139.000000000000000000,Blue,SUV,Electric,Automatic,5,Sold,true,2026-01-25,false,,,https://www.carmax.com/car/KMXTE202400555985,CarMax Nashville,2026-03-19 17:03:00.000 UTC
VEH-0257,003ak00001QQTVwAAP,Tesla,Model S,2020.000000000000000000,KMXTE202002577410,45064.000000000000000000,83256.000000000000000000,Gray,Sedan,Electric,Automatic,4,Sold,true,2026-01-19,false,,,https://www.carmax.com/car/KMXTE202002577410,CarMax Nashville,2026-03-02 11:08:00.000 UTC
VEH-0032,003ak00001QQTV9AAP,Tesla,Model 3,2025.000000000000000000,KMXTE202500312633,48234.000000000000000000,56528.000000000000000000,Blue,Sedan,Electric,Automatic,4,In Inventory,false,,true,003ak00001QQTV9AAP,2026-04-22,https://www.carmax.com/car/KMXTE202500312633,CarMax Orlando,2026-04-23 12:35:00.000 UTC
VEH-0093,003ak00001QQTVCAA5,Kia,EV6,2019.000000000000000000,KMXKI201900932391,18812.000000000000000000,21733.000000000000000000,Charcoal,SUV,Electric,Automatic,5,Sold,true,2026-04-11,false,,,https://www.carmax.com/car/KMXKI201900932391,CarMax Orlando,2026-03-25 08:01:00.000 UTC
VEH-0170,003ak00001QQTVFAA5,Hyundai,Ioniq 5,2020.000000000000000000,KMXHY202001704352,30257.000000000000000000,70654.000000000000000000,Black,SUV,Electric,Automatic,5,Sold,true,2026-03-09,false,,,https://www.carmax.com/car/KMXHY202001704352,CarMax Orlando,2026-02-01 10:38:00.000 UTC
