EngagementId,EventType,EventDateTime,IndividualId,PageURL,SessionId,DeviceType,VehicleVIN,UTMSource,UTMMedium,UTMCampaign
WE-00001,Schedule Test Drive,2026-04-26 07:39:46.000 UTC,003ak00001QQTVOAA5,https://www.carmax.com/car/KMXKI202400598077,SES-962213,Tablet,KMXKI202400598077,facebook,social,loyalty_rewards
WE-00002,Chat Started,2026-04-02 14:09:08.000 UTC,003ak00001QQTVsAAP,https://www.carmax.com/cars/sedan,SES-294053,Tablet,,carmax_app,display,loyalty_rewards
WE-00003,Share,2026-05-02 17:53:44.000 UTC,003ak00001QQTVHAA5,https://www.carmax.com/cars/pickup-truck,SES-778057,Mobile,KMXNI202000094846,email,social,electric_vehicle_promo
WE-00004,Search,2026-03-11 06:20:50.000 UTC,003ak00001QQTVAAA5,https://www.carmax.com/cars/pickup-truck,SES-958288,Desktop,,carmax_app,app_notification,suv_showcase
WE-00005,Review View,2026-05-24 20:40:02.000 UTC,003ak00001QQTVLAA5,https://www.carmax.com/stores,SES-353544,Mobile,,facebook,organic,trade_in_value
WE-00006,Compare,2026-05-21 22:49:08.000 UTC,003ak00001QQTVQAA5,https://www.carmax.com/car/KMXTO202500275354,SES-666094,Mobile,KMXTO202500275354,instagram,display,electric_vehicle_promo
WE-00007,Share,2026-03-15 22:41:51.000 UTC,003ak00001QQTV7AAP,https://www.carmax.com/cars/suv,SES-109877,Desktop,KMXHO202500345068,google,cpc,memorial_day_event
WE-00008,Vehicle Hearted,2026-03-12 09:41:04.000 UTC,003ak00001QQTVEAA5,https://www.carmax.com/car/KMXHY202000217006,SES-616545,Mobile,KMXHY202000217006,email,social,trade_in_value
WE-00009,Page View,2026-01-14 19:43:25.000 UTC,003ak00001QQTVFAA5,https://www.carmax.com/cars,SES-879349,Desktop,,google,display,spring_sale_2026
WE-00010,Review View,2026-02-24 19:01:36.000 UTC,003ak00001QQTV9AAP,https://www.carmax.com/research,SES-367239,Mobile,,direct,app_notification,suv_showcase
WE-00011,Share,2026-05-10 06:35:50.000 UTC,003ak00001QQTVBAA5,https://www.carmax.com/compare,SES-610713,Desktop,KMXMA202200667655,instagram,cpc,loyalty_rewards
WE-00012,Vehicle Hearted,2026-02-15 14:01:30.000 UTC,003ak00001QQTVKAA5,https://www.carmax.com/car/KMXCH202300498276,SES-606488,Tablet,KMXCH202300498276,email,app_notification,electric_vehicle_promo
WE-00013,Finance Calculator,2026-05-03 21:41:17.000 UTC,003ak00001QQTVPAA5,https://www.carmax.com/car/KMXHO202200625237,SES-222879,Desktop,KMXHO202200625237,facebook,organic,memorial_day_event
WE-00014,Chat Started,2026-02-28 07:17:11.000 UTC,003ak00001QQTVMAA5,https://www.carmax.com/,SES-339226,Tablet,,google,email,electric_vehicle_promo
WE-00015,Vehicle Detail View,2026-01-22 07:28:03.000 UTC,003ak00001QQTV8AAP,https://www.carmax.com/car/KMXMA202100723294,SES-941907,Desktop,KMXMA202100723294,referral,display,spring_sale_2026
WE-00016,Search,2026-05-13 09:58:15.000 UTC,003ak00001QQTV7AAP,https://www.carmax.com/compare,SES-612253,Tablet,,instagram,social,electric_vehicle_promo
WE-00017,Finance Calculator,2026-02-03 06:47:52.000 UTC,003ak00001QQTVRAA5,https://www.carmax.com/car/KMXJE202400793901,SES-492957,Mobile,KMXJE202400793901,google,email,electric_vehicle_promo
WE-00018,Schedule Test Drive,2026-05-17 20:25:30.000 UTC,003ak00001QQTVBAA5,https://www.carmax.com/car/KMXHY202400107951,SES-304891,Tablet,KMXHY202400107951,google,email,loyalty_rewards
WE-00019,Finance Calculator,2026-03-17 18:04:49.000 UTC,003ak00001QQTVLAA5,https://www.carmax.com/car/KMXME202400328459,SES-559504,Desktop,KMXME202400328459,bing,organic,spring_sale_2026
WE-00020,Search,2026-05-04 09:58:27.000 UTC,003ak00001QQTVUAA5,https://www.carmax.com/stores,SES-996912,Mobile,,facebook,referral,certified_pre_owned
WE-00021,Review View,2026-05-05 08:08:31.000 UTC,003ak00001QQTVGAA5,https://www.carmax.com/cars/sedan,SES-679311,Mobile,,instagram,referral,loyalty_rewards
