EngagementId,EventType,EventDateTime,IndividualId,PageURL,SessionId,DeviceType,VehicleVIN,UTMSource,UTMMedium,UTMCampaign
WE-EV-012745,Search,2026-05-06 20:37:28.000 UTC,003ak00001MvUBLAA3,https://www.carmax.com/electric-cars,SES-EV-429963,Desktop,,instagram,app_notification,electric_vehicle_promo
WE-EV-012746,Vehicle Detail View,2026-05-07 01:23:52.000 UTC,003ak00001MvUBLAA3,https://www.carmax.com/car/KMXTE202102522921,SES-EV-429963,Desktop,KMXTE202102522921,google,app_notification,electric_vehicle_promo
WE-EV-012747,Vehicle Detail View,2026-05-07 16:06:11.000 UTC,003ak00001MvUBLAA3,https://www.carmax.com/car/KMXKI202500151710,SES-EV-322955,Desktop,KMXKI202500151710,instagram,email,electric_vehicle_promo
WE-EV-012748,Search,2026-05-08 22:00:01.000 UTC,003ak00001MvUBLAA3,https://www.carmax.com/articles/can-an-ev-fit-my-lifestyle,SES-EV-429963,Tablet,,email,organic,electric_vehicle_promo
WE-EV-012749,Save Vehicle,2026-05-07 15:31:35.000 UTC,003ak00001MvUBLAA3,https://www.carmax.com/cars/hyundai/ioniq-5,SES-EV-852787,Desktop,7SAYGDEE5RF789012,google,email,electric_vehicle_promo
WE-EV-012750,Page View,2026-05-08 01:30:15.000 UTC,003ak00001MvUBLAA3,https://www.carmax.com/electric-cars,SES-EV-322955,Tablet,,instagram,cpc,electric_vehicle_promo
WE-EV-012751,Schedule Test Drive,2026-05-09 07:26:10.000 UTC,003ak00001MvUBLAA3,https://www.carmax.com/car/KMXHY202202717587/test-drive,SES-EV-429963,Mobile,KMXHY202202717587,direct,app_notification,electric_vehicle_promo
WE-EV-012752,Finance Application,2026-05-12 19:44:45.000 UTC,003ak00001MvUBLAA3,https://www.carmax.com/finance/apply,SES-EV-429963,Desktop,KMXRI202102666183,google,app_notification,electric_vehicle_promo
WE-EV-012753,Share,2026-05-07 09:18:19.000 UTC,003ak00001MvUBLAA3,https://www.carmax.com/electric-cars,SES-EV-852787,Mobile,KMXRI202102666183,direct,social,electric_vehicle_promo
WE-EV-012754,Page View,2026-05-10 10:16:45.000 UTC,003ak00001MvUBLAA3,https://www.carmax.com/articles/can-an-ev-fit-my-lifestyle,SES-EV-322955,Mobile,,instagram,cpc,electric_vehicle_promo
WE-EV-012755,Vehicle Detail View,2026-05-09 20:48:43.000 UTC,003ak00001MvUBLAA3,https://www.carmax.com/car/KMXTE202502103138,SES-EV-429963,Desktop,KMXTE202502103138,google,display,electric_vehicle_promo
WE-EV-012756,Vehicle Detail View,2026-05-11 16:05:03.000 UTC,003ak00001MvUBLAA3,https://www.carmax.com/car/KM8KRDAF9PU890123,SES-EV-852787,Desktop,KM8KRDAF9PU890123,instagram,display,electric_vehicle_promo
WE-EV-012757,Page View,2026-05-07 19:19:01.000 UTC,003ak00001MvUBLAA3,https://www.carmax.com/articles/can-an-ev-fit-my-lifestyle,SES-EV-852787,Desktop,,carmax_app,social,electric_vehicle_promo
WE-EV-012758,Vehicle Detail View,2026-05-09 09:15:49.000 UTC,003ak00001MvUBLAA3,https://www.carmax.com/car/2T3F1RFV0RW901234,SES-EV-429963,Mobile,2T3F1RFV0RW901234,google,display,electric_vehicle_promo
WE-EV-012759,Page View,2026-05-10 00:55:05.000 UTC,003ak00001MvUBLAA3,https://www.carmax.com/cars/electric,SES-EV-322955,Mobile,,instagram,display,electric_vehicle_promo
WE-EV-012760,Page View,2026-05-08 03:07:45.000 UTC,003ak00001MvUBLAA3,https://www.carmax.com/cars/tesla,SES-EV-852787,Desktop,,carmax_app,social,electric_vehicle_promo
WE-EV-012761,Vehicle Detail View,2026-05-10 09:05:08.000 UTC,003ak00001MvUBLAA3,https://www.carmax.com/car/KMXKI202001666994,SES-EV-429963,Mobile,KMXKI202001666994,direct,display,electric_vehicle_promo
WE-EV-012762,Page View,2026-05-07 22:11:02.000 UTC,003ak00001MvUBLAA3,https://www.carmax.com/cars/tesla,SES-EV-852787,Desktop,,carmax_app,social,electric_vehicle_promo
WE-EV-012763,Chat Started,2026-05-12 10:14:17.000 UTC,003ak00001MvUBLAA3,https://www.carmax.com/cars/chevrolet/bolt-euv,SES-EV-429963,Tablet,,carmax_app,cpc,electric_vehicle_promo
WE-EV-012764,Vehicle Detail View,2026-05-08 11:01:45.000 UTC,003ak00001MvUBLAA3,https://www.carmax.com/car/KM8KRDAF9PU890123,SES-EV-852787,Desktop,KM8KRDAF9PU890123,google,display,electric_vehicle_promo
WE-EV-012765,Search,2026-05-08 13:14:04.000 UTC,003ak00001MvUBLAA3,https://www.carmax.com/cars/electric,SES-EV-322955,Mobile,,direct,social,electric_vehicle_promo
WE-EV-012766,Page View,2026-05-07 20:41:45.000 UTC,003ak00001MvUBLAA3,https://www.carmax.com/articles/ev-buying-guide,SES-EV-852787,Mobile,,google,email,electric_vehicle_promo
WE-EV-012767,Page View,2026-05-10 23:56:41.000 UTC,003ak00001MvUBLAA3,https://www.carmax.com/cars/electric,SES-EV-322955,Desktop,,instagram,app_notification,electric_vehicle_promo
WE-EV-012768,Search,2026-05-11 07:52:53.000 UTC,003ak00001MvUBLAA3,https://www.carmax.com/cars/tesla,SES-EV-429963,Desktop,,instagram,organic,electric_vehicle_promo
WE-EV-012769,Page View,2026-05-08 12:04:04.000 UTC,003ak00001MvUBLAA3,https://www.carmax.com/cars/electric,SES-EV-429963,Mobile,,direct,display,electric_vehicle_promo
WE-EV-012770,Page View,2026-05-12 02:37:47.000 UTC,003ak00001MvUBLAA3,https://www.carmax.com/cars/hybrid,SES-EV-852787,Desktop,KMXTE202501589303,google,email,electric_vehicle_promo
WE-EV-012771,Schedule Test Drive,2026-05-08 12:46:04.000 UTC,003ak00001MvUBLAA3,https://www.carmax.com/car/KMXHY202001704352/test-drive,SES-EV-322955,Desktop,KMXHY202001704352,direct,cpc,electric_vehicle_promo
WE-EV-012772,Share,2026-05-11 14:50:46.000 UTC,003ak00001MvUBLAA3,https://www.carmax.com/articles/can-an-ev-fit-my-lifestyle,SES-EV-852787,Desktop,KMXTO202000824764,direct,social,electric_vehicle_promo
WE-EV-012773,Save Vehicle,2026-05-08 15:08:21.000 UTC,003ak00001MvUBLAA3,https://www.carmax.com/articles/can-an-ev-fit-my-lifestyle,SES-EV-429963,Desktop,KMXTE202501267839,email,display,electric_vehicle_promo
WE-EV-012774,Search,2026-05-12 16:58:41.000 UTC,003ak00001MvUBLAA3,https://www.carmax.com/electric-cars,SES-EV-322955,Tablet,,google,organic,electric_vehicle_promo
WE-EV-012775,Vehicle Detail View,2026-05-09 16:25:31.000 UTC,003ak00001MvUBLAA3,https://www.carmax.com/car/KMXTE202102522921,SES-EV-852787,Tablet,KMXTE202102522921,instagram,social,electric_vehicle_promo
WE-EV-012776,Vehicle Detail View,2026-05-09 11:44:12.000 UTC,003ak00001MvUBLAA3,https://www.carmax.com/car/KMXTE202502103138,SES-EV-429963,Desktop,KMXTE202502103138,facebook,cpc,electric_vehicle_promo
WE-EV-012777,Chat Started,2026-05-07 08:42:11.000 UTC,003ak00001MvUBLAA3,https://www.carmax.com/cars/tesla,SES-EV-322955,Desktop,,email,cpc,electric_vehicle_promo
WE-EV-012778,Save Vehicle,2026-05-06 22:27:16.000 UTC,003ak00001MvUBLAA3,https://www.carmax.com/cars/tesla,SES-EV-852787,Tablet,KMXRI202302438677,google,email,electric_vehicle_promo
WE-EV-012779,Page View,2026-05-10 17:11:20.000 UTC,003ak00001MvUBLAA3,https://www.carmax.com/articles/best-used-electric-cars,SES-EV-322955,Mobile,,facebook,social,electric_vehicle_promo
