TestDriveId,TestDriveDate,VehicleId,IndividualId,CarMaxStore,EventDateTime,VIN,ConvertedToPurchase,Notes,Outcome
TD-0051,2026-03-24,VEH-0203,003ak00001QQTVmAAP,CarMax Tampa,2026-03-24 12:30:00.000 UTC,KMXFO202602032292,false,Customer had questions about warranty coverage,Financing Review Needed
TD-0012,2026-02-15,VEH-0060,003ak00001QQTVmAAP,CarMax Raleigh,2026-02-15 12:00:00.000 UTC,KMXKI202400598077,false,Appreciated the low mileage and well-maintained condition,Interested - Following Up
TD-0006,2026-05-19,VEH-0062,003ak00001QQTVrAAP,CarMax Nashville,2026-05-19 14:00:00.000 UTC,KMXSU202300615560,false,"Smooth test drive, customer wants to return with spouse",Loved It - Comparing Options
TD-0077,2026-02-12,VEH-0080,003ak00001QQTVAAA5,CarMax Richmond,2026-02-12 13:00:00.000 UTC,KMXJE202400793901,false,Wants to test drive a second vehicle before deciding,Considering Trade-In First
TD-0060,2026-02-12,VEH-0247,003ak00001QQTVQAA5,CarMax Houston,2026-02-12 16:45:00.000 UTC,KMXLE202302473066,false,Customer enjoyed the ride quality and interior features,Considering Trade-In First
TD-0050,2026-02-12,VEH-0275,003ak00001QQTVKAA5,CarMax Tampa,2026-02-12 18:30:00.000 UTC,KMXLE202402752488,false,Loved the panoramic sunroof and premium audio system,Considering Trade-In First
TD-0013,2026-01-04,VEH-0035,003ak00001QQTV9AAP,CarMax Charlotte,2026-01-04 10:30:00.000 UTC,KMXHO202500345068,false,Liked the fuel efficiency but concerned about cargo space,Needs More Time
TD-0124,2026-01-04,VEH-0248,003ak00001QQTVqAAP,CarMax Richmond,2026-01-04 15:30:00.000 UTC,KMXDO202302483906,false,"Very impressed with safety features, considering purchase",Financing Review Needed
TD-0131,2026-04-24,VEH-0276,003ak00001QQTVJAA5,CarMax Virginia Beach,2026-04-24 11:00:00.000 UTC,KMXNI202402764100,false,"Enjoyed the EV driving experience, asked about charging",Needs More Time
TD-0017,2026-02-21,VEH-0050,003ak00001QQTVDAA5,CarMax Orlando,2026-02-21 13:45:00.000 UTC,KMXCH202300498276,false,"Very impressed with safety features, considering purchase",Not Interested
TD-0087,2026-05-05,VEH-0001,003ak00001QQTVvAAP,CarMax Austin,2026-05-05 09:45:00.000 UTC,KMXNI202000004604,false,"Enjoyed the EV driving experience, asked about charging",Wants Different Color
TD-0105,2026-05-05,VEH-0142,003ak00001QQTVtAAP,CarMax Jacksonville,2026-05-05 12:15:00.000 UTC,KMXHO202601428397,false,"Smooth test drive, customer wants to return with spouse",Loved It - Comparing Options
TD-0064,2026-01-12,VEH-0106,003ak00001QQTVNAA5,CarMax Richmond,2026-01-12 12:30:00.000 UTC,KMXBM202401068824,false,Customer comparing with online listings from other dealers,Loved It - Comparing Options
TD-0023,2026-02-09,VEH-0026,003ak00001QQTVKAA5,CarMax Orlando,2026-02-09 12:00:00.000 UTC,KMXTO202000252953,false,Liked the fuel efficiency but concerned about cargo space,Interested - Following Up
TD-0011,2026-05-16,VEH-0064,003ak00001QQTVKAA5,CarMax Houston,2026-05-16 11:15:00.000 UTC,KMXMA202500636793,true,Excited about the technology package,Purchased
TD-0121,2026-01-28,VEH-0102,003ak00001QQTVYAA5,CarMax Orlando,2026-01-28 14:30:00.000 UTC,KMXTO202301026433,true,Customer very knowledgeable about the vehicle specs,Purchased
TD-0005,2026-03-16,VEH-0056,003ak00001QQTVEAA5,CarMax Orlando,2026-03-16 09:30:00.000 UTC,KMXTE202400555985,false,"Smooth test drive, customer wants to return with spouse",Needs More Time
TD-0088,2026-01-02,VEH-0187,003ak00001QQTVEAA5,CarMax Charlotte,2026-01-02 18:00:00.000 UTC,KMXGE202001874815,false,Loved the panoramic sunroof and premium audio system,Considering Trade-In First
TD-0030,2026-05-27,VEH-0038,003ak00001QQTVoAAP,CarMax Nashville,2026-05-27 14:00:00.000 UTC,KMXLE202100377221,false,Customer enjoyed the ride quality and interior features,Not Interested
TD-0007,2026-05-27,VEH-0056,003ak00001QQTVHAA5,CarMax Orlando,2026-05-27 16:45:00.000 UTC,KMXTE202400555985,false,"Smooth test drive, customer wants to return with spouse",Loved It - Comparing Options
TD-0110,2026-02-18,VEH-0214,003ak00001QQTVBAA5,CarMax Virginia Beach,2026-02-18 10:15:00.000 UTC,KMXMA202502148882,false,Excited about the technology package,Wants Different Color
TD-0123,2026-01-25,VEH-0227,003ak00001QQTVmAAP,CarMax Nashville,2026-01-25 18:00:00.000 UTC,KMXRA202402272045,false,"Smooth test drive, customer wants to return with spouse",Wants Different Color
TD-0072,2026-02-19,VEH-0282,003ak00001QQTVHAA5,CarMax Richmond,2026-02-19 09:15:00.000 UTC,KMXGM202602826650,false,"Smooth test drive, customer wants to return with spouse",Wants Different Color
TD-0086,2026-02-19,VEH-0166,003ak00001QQTVsAAP,CarMax Richmond,2026-02-19 10:30:00.000 UTC,KMXKI202001666994,false,Asked about trade-in value for current vehicle,Coming Back With Spouse
